customer_id,signup_date,age,gender,country,segment,is_churned,lifetime_value,email_opt_in,has_app,username,email,password
C00000,2/13/2020,28,M,BR,Premium,0,1595.27,0,0,user_c00000,user_c00000@gmail.com,00001OhbVrp
C00001,10/1/2021,22,Prefer not to say,FR,Regular,0,1160.61,1,0,user_c00001,user_c00001@gmail.com,00002oiVgRV
C00002,6/26/2022,30,F,US,VIP,0,3093.32,1,1,user_c00002,user_c00002@gmail.com,000035IfLBc
C00003,12/21/2021,48,F,US,Premium,1,2131.08,1,0,user_c00003,user_c00003@gmail.com,00004bfnoGM
C00004,9/16/2021,37,M,CA,Budget Shopper,0,583.39,0,1,user_c00004,user_c00004@gmail.com,00005bJmTPS
C00005,2/27/2024,46,M,US,Occasional Visitor,1,833.78,1,0,user_c00005,user_c00005@gmail.com,00006IAoCLr
C00006,2/16/2020,41,F,UK,Premium,0,2491.77,1,0,user_c00006,user_c00006@gmail.com,00007Z3aWZk
C00007,6/14/2022,27,M,JP,Premium,0,1881.17,1,1,user_c00007,user_c00007@gmail.com,00008SBvrjn
C00008,1/23/2022,18,F,UK,Budget Shopper,0,631.11,1,1,user_c00008,user_c00008@gmail.com,000099Wvgfy
C00009,5/5/2022,23,Prefer not to say,US,Regular,0,856.31,0,1,user_c00009,user_c00009@gmail.com,00010gw2wMq
C00010,7/20/2021,26,M,US,Regular,0,1294.25,1,1,user_c00010,user_c00010@gmail.com,00011ZcUDIh
C00011,4/10/2021,26,F,BR,VIP,0,6623.57,0,0,user_c00011,user_c00011@gmail.com,000127yfJs1
C00012,5/21/2022,46,F,US,Regular,0,679.1,0,0,user_c00012,user_c00012@gmail.com,00013ON43xK
C00013,10/14/2020,46,M,US,Premium,0,2156.11,1,1,user_c00013,user_c00013@gmail.com,00014mTecQo
C00014,6/3/2024,61,F,CA,Regular,0,962.94,1,0,user_c00014,user_c00014@gmail.com,00015Xsf2o3
C00015,8/20/2021,25,F,UK,Budget Shopper,0,534.11,1,0,user_c00015,user_c00015@gmail.com,00016gyrDO1
C00016,12/1/2022,54,M,US,Regular,0,840.56,1,1,user_c00016,user_c00016@gmail.com,00017xkxwnQ
C00017,2/11/2022,54,M,CA,Budget Shopper,0,354.32,1,1,user_c00017,user_c00017@gmail.com,00018rS7RPe
C00018,8/2/2021,32,F,CA,Premium,0,2367.84,1,0,user_c00018,user_c00018@gmail.com,00019MOkIUp
C00019,7/15/2023,40,F,US,Regular,1,945.69,1,1,user_c00019,user_c00019@gmail.com,00020kDyr7O
C00020,4/9/2020,49,Non-binary,UK,Premium,0,2312.42,0,0,user_c00020,user_c00020@gmail.com,00021SJoRu1
C00021,10/12/2022,34,F,FR,Regular,0,1345.49,0,1,user_c00021,user_c00021@gmail.com,00022XXdo0c
C00022,6/13/2023,33,M,US,Occasional Visitor,1,476.52,1,0,user_c00022,user_c00022@gmail.com,00023Zuzren
C00023,2/26/2020,27,Prefer not to say,MX,VIP,0,4857.78,1,1,user_c00023,user_c00023@gmail.com,0002468K4Tu
C00024,4/28/2020,18,F,US,Premium,0,2045.42,1,0,user_c00024,user_c00024@gmail.com,00025nPFz46
C00025,7/26/2021,35,M,UK,Budget Shopper,0,502.96,1,0,user_c00025,user_c00025@gmail.com,00026PDjqip
